sample_id,class_id,class_name,pixel_count,percentage,region_count,largest_region,smallest_region,mean_region,median_region,regions_1px_or_less,regions_5px_or_less,regions_10px_or_less,regions_25px_or_less,regions_50px_or_less
hurricane-michael_00000341,2,Minor Damage,2328,0.222015380859375,3,1378,269,776.0,681.0,0,0,0,0,0
hurricane-michael_00000341,3,Major Damage,1025,0.09775161743164062,1,1025,1025,1025.0,1025.0,0,0,0,0,0
hurricane-michael_00000341,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000102,2,Minor Damage,39164,3.7349700927734375,36,4385,242,1087.888888888889,1043.0,0,0,0,0,0
hurricane-michael_00000102,3,Major Damage,15603,1.4880180358886719,14,2422,229,1114.5,1171.0,0,0,0,0,0
hurricane-michael_00000102,4,Destroyed,2810,0.26798248291015625,2,1769,1041,1405.0,1405.0,0,0,0,0,0
hurricane-michael_00000446,2,Minor Damage,18447,1.7592430114746094,11,5945,422,1677.0,1254.0,0,0,0,0,0
hurricane-michael_00000446,3,Major Damage,19590,1.8682479858398438,7,6539,393,2798.5714285714284,1393.0,0,0,0,0,0
hurricane-michael_00000446,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-florence_00000510,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-florence_00000510,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-florence_00000510,4,Destroyed,197,0.018787384033203125,1,197,197,197.0,197.0,0,0,0,0,0
santa-rosa-wildfire_00000084,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000084,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000084,4,Destroyed,219686,20.950889587402344,202,5524,70,1087.5544554455446,1029.0,0,0,0,0,0
hurricane-michael_00000358,2,Minor Damage,6452,0.6153106689453125,7,1331,455,921.7142857142857,899.0,0,0,0,0,0
hurricane-michael_00000358,3,Major Damage,3858,0.36792755126953125,1,3858,3858,3858.0,3858.0,0,0,0,0,0
hurricane-michael_00000358,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000142,2,Minor Damage,16758,1.5981674194335938,14,1431,958,1197.0,1226.5,0,0,0,0,0
hurricane-michael_00000142,3,Major Damage,7104,0.677490234375,6,1339,1074,1184.0,1186.5,0,0,0,0,0
hurricane-michael_00000142,4,Destroyed,239,0.022792816162109375,1,239,239,239.0,239.0,0,0,0,0,0
socal-fire_00000013,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000013,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000013,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000277,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000277,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000277,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000380,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000380,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000380,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000196,2,Minor Damage,29441,2.8077125549316406,27,3150,211,1090.4074074074074,1053.0,0,0,0,0,0
hurricane-michael_00000196,3,Major Damage,20556,1.9603729248046875,20,3544,78,1027.8,1080.0,0,0,0,0,0
hurricane-michael_00000196,4,Destroyed,4590,0.43773651123046875,9,949,119,510.0,571.0,0,0,0,0,0
hurricane-michael_00000269,2,Minor Damage,6962,0.6639480590820312,6,3420,400,1160.3333333333333,819.5,0,0,0,0,0
hurricane-michael_00000269,3,Major Damage,5878,0.5605697631835938,4,1889,735,1469.5,1627.0,0,0,0,0,0
hurricane-michael_00000269,4,Destroyed,4893,0.4666328430175781,2,2688,2205,2446.5,2446.5,0,0,0,0,0
santa-rosa-wildfire_00000155,2,Minor Damage,1159,0.11053085327148438,1,1159,1159,1159.0,1159.0,0,0,0,0,0
santa-rosa-wildfire_00000155,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000155,4,Destroyed,206821,19.723987579345703,194,3960,36,1066.0876288659795,1027.0,0,0,0,0,2
santa-rosa-wildfire_00000320,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000320,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000320,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-harvey_00000515,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-harvey_00000515,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-harvey_00000515,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000129,2,Minor Damage,583,0.055599212646484375,1,583,583,583.0,583.0,0,0,0,0,0
santa-rosa-wildfire_00000129,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000129,4,Destroyed,163855,15.62643051147461,97,4868,57,1689.2268041237114,1603.0,0,0,0,0,0
socal-fire_00000572,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000572,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000572,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
palu-tsunami_00000189,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
palu-tsunami_00000189,3,Major Damage,6482,0.6181716918945312,3,3739,1232,2160.6666666666665,1511.0,0,0,0,0,0
palu-tsunami_00000189,4,Destroyed,25376,2.4200439453125,15,5391,209,1691.7333333333333,1340.0,0,0,0,0,0
socal-fire_00000151,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000151,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000151,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000103,2,Minor Damage,1570,0.14972686767578125,1,1570,1570,1570.0,1570.0,0,0,0,0,0
santa-rosa-wildfire_00000103,3,Major Damage,3351,0.3195762634277344,2,1779,1572,1675.5,1675.5,0,0,0,0,0
santa-rosa-wildfire_00000103,4,Destroyed,23253,2.217578887939453,24,4643,212,968.875,495.5,0,0,0,0,0
mexico-earthquake_00000096,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
mexico-earthquake_00000096,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
mexico-earthquake_00000096,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000915,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000915,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000915,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000250,2,Minor Damage,1036,0.0988006591796875,1,1036,1036,1036.0,1036.0,0,0,0,0,0
santa-rosa-wildfire_00000250,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000250,4,Destroyed,41152,3.924560546875,38,6780,128,1082.9473684210527,736.5,0,0,0,0,0
hurricane-harvey_00000344,2,Minor Damage,14796,1.4110565185546875,5,4393,2438,2959.2,2692.0,0,0,0,0,0
hurricane-harvey_00000344,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-harvey_00000344,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000191,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000191,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000191,4,Destroyed,5604,0.5344390869140625,7,1614,465,800.5714285714286,603.0,0,0,0,0,0
hurricane-harvey_00000261,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-harvey_00000261,3,Major Damage,5633,0.5372047424316406,6,1447,402,938.8333333333334,928.5,0,0,0,0,0
hurricane-harvey_00000261,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
hurricane-michael_00000208,2,Minor Damage,5214,0.49724578857421875,3,2139,1414,1738.0,1661.0,0,0,0,0,0
hurricane-michael_00000208,3,Major Damage,754,0.07190704345703125,1,754,754,754.0,754.0,0,0,0,0,0
hurricane-michael_00000208,4,Destroyed,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000923,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000923,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000923,4,Destroyed,1594,0.15201568603515625,1,1594,1594,1594.0,1594.0,0,0,0,0,0
santa-rosa-wildfire_00000249,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000249,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
santa-rosa-wildfire_00000249,4,Destroyed,10578,1.0087966918945312,9,2809,250,1175.3333333333333,937.0,0,0,0,0,0
socal-fire_00000252,2,Minor Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
socal-fire_00000252,3,Major Damage,0,0.0,0,0,0,0,0,0,0,0,0,0
