sample_id,class_id,class_name,original_pixels,resized_pixels,scaled_resized_pixels,retention_percent
hurricane-michael_00000341,0,Background,1034367,64652,1034432,100.00628403651702
hurricane-michael_00000341,1,No Damage,10856,674,10784,99.3367722918202
hurricane-michael_00000341,2,Minor Damage,2328,145,2320,99.65635738831615
hurricane-michael_00000341,3,Major Damage,1025,65,1040,101.46341463414635
hurricane-michael_00000341,4,Destroyed,0,0,0,0.0
hurricane-michael_00000102,0,Background,896757,56085,897360,100.06724229640807
hurricane-michael_00000102,1,No Damage,94242,5899,94384,100.15067591944144
hurricane-michael_00000102,2,Minor Damage,39164,2429,38864,99.23399039934634
hurricane-michael_00000102,3,Major Damage,15603,950,15200,97.41716336601935
hurricane-michael_00000102,4,Destroyed,2810,173,2768,98.50533807829181
hurricane-michael_00000446,0,Background,942434,58892,942272,99.98281046736429
hurricane-michael_00000446,1,No Damage,68105,4236,67776,99.51692239923648
hurricane-michael_00000446,2,Minor Damage,18447,1177,18832,102.0870602265951
hurricane-michael_00000446,3,Major Damage,19590,1231,19696,100.5410923940786
hurricane-michael_00000446,4,Destroyed,0,0,0,0.0
hurricane-florence_00000510,0,Background,1029136,64326,1029216,100.00777351098398
hurricane-florence_00000510,1,No Damage,19243,1198,19168,99.61024788234683
hurricane-florence_00000510,2,Minor Damage,0,0,0,0.0
hurricane-florence_00000510,3,Major Damage,0,0,0,0.0
hurricane-florence_00000510,4,Destroyed,197,12,192,97.46192893401016
santa-rosa-wildfire_00000084,0,Background,813282,50783,812528,99.90728923054981
santa-rosa-wildfire_00000084,1,No Damage,15608,971,15536,99.53869810353665
santa-rosa-wildfire_00000084,2,Minor Damage,0,0,0,0.0
santa-rosa-wildfire_00000084,3,Major Damage,0,0,0,0.0
santa-rosa-wildfire_00000084,4,Destroyed,219686,13782,220512,100.37599118742204
hurricane-michael_00000358,0,Background,1002943,62711,1003376,100.0431729420316
hurricane-michael_00000358,1,No Damage,35323,2186,34976,99.01763723353056
hurricane-michael_00000358,2,Minor Damage,6452,398,6368,98.69807811531308
hurricane-michael_00000358,3,Major Damage,3858,241,3856,99.94815966822188
hurricane-michael_00000358,4,Destroyed,0,0,0,0.0
hurricane-michael_00000142,0,Background,962876,60170,962720,99.98379853688326
