sample_id,class_id,class_name,pixel_count,mean_difference,median_difference,std_difference,min_difference,max_difference,p90_difference
hurricane-michael_00000341,0,Background,64652,0.0973987877368927,0.0784313753247261,0.06574321538209915,0.0,0.48758170008659363,0.19738562405109406
hurricane-michael_00000341,1,No Damage,674,0.08754679560661316,0.07189542055130005,0.07297419011592865,0.003921568393707275,0.4326797425746918,0.18522875159978872
hurricane-michael_00000341,2,Minor Damage,145,0.07743069529533386,0.07058825343847275,0.050322793424129486,0.010457515716552734,0.26143792271614075,0.1270588308572769
hurricane-michael_00000341,3,Major Damage,65,0.13134238123893738,0.09019607305526733,0.09948816895484924,0.013071894645690918,0.430065393447876,0.27320261597633366
hurricane-michael_00000102,0,Background,56085,0.08720601350069046,0.07189542055130005,0.0690370574593544,0.0,0.7516339421272278,0.16993464529514313
hurricane-michael_00000102,1,No Damage,5899,0.09283681958913803,0.07581698894500732,0.08061493933200836,0.0,0.5607842803001404,0.18849675655364967
hurricane-michael_00000102,2,Minor Damage,2429,0.09396965056657791,0.07712417840957642,0.07617364078760147,0.0013071894645690918,0.5045751929283142,0.19084968268871308
hurricane-michael_00000102,3,Major Damage,950,0.09698520600795746,0.08104575425386429,0.06635011732578278,0.006535947322845459,0.46535947918891907,0.18692810833454132
hurricane-michael_00000102,4,Destroyed,173,0.15734633803367615,0.16209150850772858,0.09564109891653061,0.00784313678741455,0.40522876381874084,0.28810458779335024
hurricane-michael_00000446,0,Background,58892,0.08798619359731674,0.07189542800188065,0.08250801265239716,0.0,0.7647058963775635,0.19594770222902488
hurricane-michael_00000446,1,No Damage,4236,0.10998012870550156,0.08496731519699097,0.0992310643196106,0.0026143789291381836,0.6483659744262695,0.2222222536802292
hurricane-michael_00000446,2,Minor Damage,1177,0.13962827622890472,0.10980392247438431,0.1119796484708786,0.0026143789291381836,0.5908496975898743,0.3181699156761171
hurricane-michael_00000446,3,Major Damage,1231,0.1445777267217636,0.1424836665391922,0.08367177844047546,0.0026143789291381836,0.4575163424015045,0.24836601316928864
hurricane-florence_00000510,0,Background,64326,0.08711910992860794,0.06535948067903519,0.07230323553085327,0.0026143789291381836,0.569934606552124,0.17777778208255768
hurricane-florence_00000510,1,No Damage,1198,0.1159394159913063,0.08235294371843338,0.10525750368833542,0.0026143789291381836,0.6379084587097168,0.2644444495439529
hurricane-florence_00000510,4,Destroyed,12,0.19150327146053314,0.19281044602394104,0.1037885770201683,0.016993463039398193,0.3189542591571808,0.3095424950122833
santa-rosa-wildfire_00000084,0,Background,50783,0.07555387914180756,0.05359477177262306,0.06535453349351883,0.0,0.43921568989753723,0.17254900932312012
santa-rosa-wildfire_00000084,1,No Damage,971,0.045384109020233154,0.03006535768508911,0.03989636152982712,0.0013071894645690918,0.24444444477558136,0.10849674791097641
santa-rosa-wildfire_00000084,4,Destroyed,13782,0.14003385603427887,0.13856209814548492,0.0743376612663269,0.0026143789291381836,0.43660131096839905,0.239215686917305
hurricane-michael_00000358,0,Background,62711,0.07804033160209656,0.06013071909546852,0.05997423082590103,0.0,0.6980392336845398,0.1581699252128601
hurricane-michael_00000358,1,No Damage,2186,0.10185853391885757,0.08104574680328369,0.081563301384449,0.0,0.5241829752922058,0.21045751869678497
hurricane-michael_00000358,2,Minor Damage,398,0.16635465621948242,0.1254901885986328,0.1385943591594696,0.006535947322845459,0.6967320442199707,0.3563398689031601
hurricane-michael_00000358,3,Major Damage,241,0.08463644981384277,0.06405230611562729,0.06908882409334183,0.003921568393707275,0.40522876381874084,0.1738562136888504
hurricane-michael_00000142,0,Background,60170,0.06019357219338417,0.044444452971220016,0.04929818958044052,0.0,0.5673202872276306,0.1254901885986328
hurricane-michael_00000142,1,No Damage,3852,0.05992472916841507,0.04967319965362549,0.04989617317914963,0.0013071894645690918,0.4718954563140869,0.1124182939529419
hurricane-michael_00000142,2,Minor Damage,1060,0.07212603837251663,0.06209150701761246,0.05327486991882324,0.0013071894645690918,0.2967320382595062,0.13986928761005402
hurricane-michael_00000142,3,Major Damage,438,0.06150655075907707,0.049673207104206085,0.04211994260549545,0.005228757858276367,0.19346404075622559,0.12287583202123642
hurricane-michael_00000142,4,Destroyed,16,0.11666666716337204,0.10457517951726913,0.060669124126434326,0.04183006286621094,0.24836604297161102,0.1895424872636795
socal-fire_00000013,0,Background,65536,0.05177738144993782,0.03921569511294365,0.04189988970756531,0.0,0.4549020230770111,0.1111111044883728
socal-fire_00000277,0,Background,65536,0.03721967712044716,0.023529410362243652,0.044562291353940964,0.0,0.5895425081253052,0.07973857969045639
hurricane-michael_00000380,0,Background,65536,0.07342281937599182,0.054901961237192154,0.06427115201950073,0.0,0.5816993713378906,0.15163397789001465
hurricane-michael_00000196,0,Background,59240,0.08036025613546371,0.0627450942993164,0.06495513767004013,0.0013071894645690918,0.6666666865348816,0.16209150850772858
hurricane-michael_00000196,1,No Damage,2894,0.09987487643957138,0.07189542055130005,0.09517145156860352,0.0,0.626143753528595,0.22091502994298934
hurricane-michael_00000196,2,Minor Damage,1819,0.10614968836307526,0.08366012573242188,0.08529364317655563,0.003921568393707275,0.5568627715110779,0.21960783302783965
hurricane-michael_00000196,3,Major Damage,1303,0.10471862554550171,0.08235293626785278,0.08444999158382416,0.0013071894645690918,0.4431372582912445,0.23503270447254174
hurricane-michael_00000196,4,Destroyed,280,0.14110177755355835,0.1267973780632019,0.0980612188577652,0.006535947322845459,0.3816993534564972,0.28901962041854856
hurricane-michael_00000269,0,Background,62683,0.30803585052490234,0.31111112236976624,0.18072597682476044,0.0013071894645690918,0.9712417721748352,0.5320262312889099
hurricane-michael_00000269,1,No Damage,1751,0.10648107528686523,0.07843136787414551,0.10423824936151505,0.0,0.5398693084716797,0.2692810595035553
hurricane-michael_00000269,2,Minor Damage,425,0.08782467991113663,0.06535948067903519,0.07671301066875458,0.0026143789291381836,0.40392160415649414,0.19633985757827765
