dataset_index,actual_0_pixels,actual_0_mean_probability,actual_0_max_probability,actual_0_min_probability,actual_1_pixels,actual_1_mean_probability,actual_1_max_probability,actual_1_min_probability,actual_2_pixels,actual_2_mean_probability,actual_2_max_probability,actual_2_min_probability,actual_3_pixels,actual_3_mean_probability,actual_3_max_probability,actual_3_min_probability,actual_4_pixels,actual_4_mean_probability,actual_4_max_probability,actual_4_min_probability
0,64652,0.8844433426856995,0.999976396560669,0.015029369853436947,674,0.4341452717781067,0.5685861110687256,0.16980798542499542,145,0.16200856864452362,0.25197210907936096,0.02863365411758423,65,0.2504971921443939,0.3848697543144226,0.03763261064887047,0,,,
1,56085,0.7179088592529297,0.9999314546585083,0.009823985397815704,5899,0.41569218039512634,0.5468015074729919,0.017274223268032074,2429,0.1973142772912979,0.31311652064323425,0.05839824676513672,950,0.2972559332847595,0.4249023199081421,0.025417912751436234,173,0.1440163254737854,0.4512481689453125,0.012091104872524738
2,58892,0.8229499459266663,0.9997863173484802,0.005711290519684553,4236,0.3487197756767273,0.6192445158958435,0.001606647507287562,1177,0.10527367889881134,0.2877165377140045,0.0023048995062708855,1231,0.21425341069698334,0.42456531524658203,0.0031861260067671537,0,,,
3,64326,0.95824134349823,0.9999834299087524,0.009174288250505924,1198,0.37680307030677795,0.9860164523124695,0.012850400060415268,0,,,,0,,,,12,0.08347585052251816,0.10903344303369522,0.059456899762153625
4,50783,0.5868794322013855,0.992950439453125,0.03573756292462349,971,0.38834327459335327,0.5444284677505493,0.047250933945178986,0,,,,0,,,,13782,0.6662127375602722,0.9060196876525879,0.008960247039794922
5,62711,0.8398304581642151,0.9999699592590332,0.005563153885304928,2186,0.40964624285697937,0.5812515020370483,0.07869990170001984,398,0.1546660214662552,0.2741863429546356,0.007026204839348793,241,0.19876566529273987,0.3504672944545746,0.013016290962696075,0,,,
6,60170,0.7938188314437866,0.9992751479148865,0.007968196645379066,3852,0.43797415494918823,0.5269680023193359,0.20253977179527283,1060,0.22067822515964508,0.3002866804599762,0.06546669453382492,438,0.3091018795967102,0.4089636206626892,0.2202908843755722,16,0.15227225422859192,0.24098773300647736,0.05427459999918938
7,65536,0.9139800071716309,0.9973421692848206,0.10239509493112564,0,,,,0,,,,0,,,,0,,,
8,65536,0.852222740650177,0.9997770190238953,0.035425230860710144,0,,,,0,,,,0,,,,0,,,
9,65536,0.7539966106414795,0.9999610185623169,0.05367596074938774,0,,,,0,,,,0,,,,0,,,
